index_x,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,index_y,classifier,roc,cross_entropy,accuracy,pred_time,train_time
0,pollen,6,1,3848,2,0,1924,871,pollen_lr,lr,0.5,0.6937895446,0.497,0.0015017986000000001,0.0013432503000000001
0,pollen,6,1,3848,2,0,1924,871,pollen_rf,rf,0.5184686649,0.7508261439,0.521,0.0184702873,0.0162394047
0,pollen,6,1,3848,2,0,1924,871,pollen_svm,svm,0.5235508478,0.6931430748,0.486,0.24915575980000002,0.21717238430000002
0,pollen,6,1,3848,2,0,1924,871,pollen_mlp,mlp,0.5039561424,0.6946945344000001,0.499,0.0584301949,0.0555393696
0,pollen,6,1,3848,2,0,1924,871,pollen_knn,knn,0.5012700457,1.8086273777000001,0.498,0.0476498604,0.0002944469
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_lr,lr,0.9253764006,0.16341193710000002,0.9520000000000001,0.0115456581,0.0108823776
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_rf,rf,0.9884234944,0.0598983442,0.981,0.3820955753,0.330915451
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_svm,svm,0.9263830532,0.106711,0.966,0.028727531400000002,0.0248057842
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_mlp,mlp,0.9353335084000001,0.12124515820000001,0.966,1.093470335,1.0920376778
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_knn,knn,0.9187893908,0.1779919905,0.9520000000000001,0.058863163,0.0013482571
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_lr,lr,1.0,6.1326e-06,1.0,0.0604920387,0.060279130900000005
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_rf,rf,1.0,0.0159729778,1.0,0.1038434505,0.09397816660000001
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_svm,svm,1.0,0.0213733288,1.0,3.1455209255,3.1424562931
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_mlp,mlp,1.0,0.0004946454,1.0,0.2501044273,0.24794125560000002
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_knn,knn,1.0,0.025377825000000003,1.0,0.0686748028,0.0019872189
4,led24,25,25,3200,10,0,296,40677,led24_lr,lr,0.9508134533,0.8689964921000001,0.709,0.18867897990000002,0.1877954006
4,led24,25,25,3200,10,0,296,40677,led24_rf,rf,0.9515400777,0.9582771061,0.707,0.49639225010000004,0.40077877040000004
4,led24,25,25,3200,10,0,296,40677,led24_svm,svm,0.9487864127000001,0.8950958383000001,0.6960000000000001,0.1960303783,0.1397979259
4,led24,25,25,3200,10,0,296,40677,led24_mlp,mlp,0.9467886622,1.0011813073,0.6980000000000001,1.7016208172,1.6895859241000002
4,led24,25,25,3200,10,0,296,40677,led24_knn,knn,0.9210184041,1.5349812594999999,0.628,0.0711095333,0.0015239716
5,led7,8,8,3200,10,0,270,40678,led7_lr,lr,0.9535478584,0.9128137608,0.729,0.017376661300000002,0.0171084404
5,led7,8,8,3200,10,0,270,40678,led7_rf,rf,0.9486891766000001,0.887878092,0.724,0.3739771843,0.2953464985
5,led7,8,8,3200,10,0,270,40678,led7_svm,svm,0.9512985783000001,0.8482416421000001,0.721,0.1759095192,0.12256622310000001
5,led7,8,8,3200,10,0,270,40678,led7_mlp,mlp,0.9524296881000001,0.9132653213,0.726,1.2787139416,1.2764422894
5,led7,8,8,3200,10,0,270,40678,led7_knn,knn,0.9384855122,2.0332297299,0.707,0.045315980900000004,0.0009851456
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_lr,lr,0.9924349312,0.1262282512,0.9510000000000001,0.031457901,0.0311951637
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_rf,rf,0.9964244800000001,0.1088296267,0.968,0.0099813938,0.007591486000000001
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_svm,svm,0.9987177168,0.045494531000000005,0.981,0.0557184219,0.041001558300000004
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_mlp,mlp,0.9972022912,0.22147456570000001,0.977,0.4564912319,0.4524536133
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_knn,knn,0.9672233946000001,0.3133905394,0.91,0.0739808083,0.0002043247
7,splice,61,61,3190,3,0,767,46,splice_lr,lr,0.9905811856000001,0.2006956231,0.937,0.6452031136,0.6413621902000001
7,splice,61,61,3190,3,0,767,46,splice_rf,rf,0.9930248807000001,0.3674195766,0.9590000000000001,0.5434091091000001,0.46989202500000005
7,splice,61,61,3190,3,0,767,46,splice_svm,svm,0.9937111011,0.1377377302,0.926,0.3835558891,0.306566
7,splice,61,61,3190,3,0,767,46,splice_mlp,mlp,0.9900330394,0.2096765182,0.932,6.6432943344,6.6335728168
7,splice,61,61,3190,3,0,767,46,splice_knn,knn,0.9757693099,0.6005587193,0.844,0.2204499245,0.0030565262
8,space_ga,7,1,3107,2,0,1541,737,space_ga_lr,lr,0.8982809117,0.4116354827,0.833,0.0063292980000000006,0.006078720100000001
8,space_ga,7,1,3107,2,0,1541,737,space_ga_rf,rf,0.8956012390000001,0.4233434728,0.8220000000000001,0.6750946045,0.6010458469000001
8,space_ga,7,1,3107,2,0,1541,737,space_ga_svm,svm,0.9156786964,0.3809806645,0.857,0.1846103668,0.1757884026
8,space_ga,7,1,3107,2,0,1541,737,space_ga_mlp,mlp,0.9227434706000001,0.3549013556,0.859,3.1448307037,3.1302728653
8,space_ga,7,1,3107,2,0,1541,737,space_ga_knn,knn,0.8781733230000001,0.5120440315,0.79,0.0227327347,0.000123024
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_lr,lr,0.7601651565,0.204774814,0.9380000000000001,0.009458303500000001,0.0091917515
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_rf,rf,0.7491576319000001,0.2200125805,0.9390000000000001,0.1598060131,0.1366813183
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_svm,svm,0.6943556976,0.22202870560000001,0.9390000000000001,0.015797615100000002,0.0116636753
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_mlp,mlp,0.7584455036000001,0.2071158833,0.937,1.2245173454,1.2223186493
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_knn,knn,0.6897292201,0.6055459399,0.9390000000000001,0.10194826130000001,0.0001642704
11,ozone-level-8hr,73,1,2534,2,0,160,1487,ozone-level-8hr_lr,lr,0.9030558483000001,0.13740803940000001,0.9530000000000001,0.33847665790000003,0.3375844955
11,ozone-level-8hr,73,1,2534,2,0,160,1487,ozone-level-8hr_rf,rf,0.9036137110000001,0.1406559776,0.9490000000000001,0.2840864658,0.26243019100000003
11,ozone-level-8hr,73,1,2534,2,0,160,1487,ozone-level-8hr_svm,svm,0.9167338168,0.13418042730000002,0.9490000000000001,0.0399148464,0.027123451200000002
11,ozone-level-8hr,73,1,2534,2,0,160,1487,ozone-level-8hr_mlp,mlp,0.9115270977000001,0.2102298587,0.9470000000000001,1.0000715256,0.9919145107
11,ozone-level-8hr,73,1,2534,2,0,160,1487,ozone-level-8hr_knn,knn,0.8692121738,0.32209906450000003,0.9470000000000001,0.10542202,0.0017101765
12,jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007,jungle_chess_2pcs_endgame_lion_lion_lr,lr,0.9990874999999999,0.039644855900000005,0.982,0.2241234779,0.22128582
12,jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007,jungle_chess_2pcs_endgame_lion_lion_rf,rf,0.9995354167,0.051866214800000005,0.985,0.3770737648,0.3181433678
12,jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007,jungle_chess_2pcs_endgame_lion_lion_svm,svm,0.99855,0.052392394,0.983,0.0254299641,0.022732257800000003
12,jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007,jungle_chess_2pcs_endgame_lion_lion_mlp,mlp,0.9993666667000001,0.0309800775,0.988,1.1652929783000001,1.1602437496
12,jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007,jungle_chess_2pcs_endgame_lion_lion_knn,knn,0.9986291667,0.0583750528,0.979,0.0797488689,0.0033457279
13,jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999,jungle_chess_2pcs_endgame_elephant_elephant_lr,lr,1.0,0.0008748632,0.999,0.0498642921,0.049656152700000004
13,jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999,jungle_chess_2pcs_endgame_elephant_elephant_rf,rf,1.0,0.0163975888,1.0,0.091137886,0.0813264847
13,jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999,jungle_chess_2pcs_endgame_elephant_elephant_svm,svm,1.0,0.0027966356,1.0,0.055340051700000004,0.0366106033
13,jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999,jungle_chess_2pcs_endgame_elephant_elephant_mlp,mlp,1.0,0.0004057479,1.0,0.1567981243,0.1467664242
13,jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999,jungle_chess_2pcs_endgame_elephant_elephant_knn,knn,1.0,0.0012163953,1.0,0.0885512829,0.00021409990000000002
14,segment,20,1,2310,7,0,330,36,segment_lr,lr,0.9961514954,0.1608812746,0.9490000000000001,0.1365845203,0.1362426281
14,segment,20,1,2310,7,0,330,36,segment_rf,rf,0.9987262562,0.1207329981,0.964,0.2504558563,0.22318720820000001
14,segment,20,1,2310,7,0,330,36,segment_svm,svm,0.9965326917,0.1618981194,0.9420000000000001,0.027914762500000002,0.0210533142
14,segment,20,1,2310,7,0,330,36,segment_mlp,mlp,0.9984029653000001,0.11885937,0.969,0.8919351101,0.8837175369
14,segment,20,1,2310,7,0,330,36,segment_knn,knn,0.9975907119,0.1301430921,0.9430000000000001,0.0381684303,0.0014152527000000001
15,Titanic,4,1,2201,2,0,711,40704,Titanic_lr,lr,0.7330445591,0.5067854691,0.796,0.0010843277,0.0009837151
15,Titanic,4,1,2201,2,0,711,40704,Titanic_rf,rf,0.7777738392,0.4783466635,0.8,0.283772707,0.2410383224
15,Titanic,4,1,2201,2,0,711,40704,Titanic_svm,svm,0.7667025862,0.5013985812,0.796,0.0677285194,0.0514132977
15,Titanic,4,1,2201,2,0,711,40704,Titanic_mlp,mlp,0.7791822633000001,0.47543966330000004,0.8,3.1804904938,3.156172514
15,Titanic,4,1,2201,2,0,711,40704,Titanic_knn,knn,0.7675391334,1.0724664452,0.8,0.0487015247,0.0013656616
16,quake,4,1,2178,2,0,969,772,quake_lr,lr,0.5318474950000001,0.6863157801,0.549,0.0008428097,0.0006985664
