index_x,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,index_y,classifier,roc,cross_entropy,accuracy,pred_time,train_time
0,pollen,6,1,3848,2,0,1924,871,pollen_lr,lr,0.49213771700000003,0.6944343102,0.49,0.0043022633,0.0041687489
0,pollen,6,1,3848,2,0,1924,871,pollen_rf,rf,0.5011000396,0.7397928494,0.492,0.1653575897,0.1458420753
0,pollen,6,1,3848,2,0,1924,871,pollen_svm,svm,0.5123184435,0.6946860057,0.47400000000000003,0.1111309528,0.0744802952
0,pollen,6,1,3848,2,0,1924,871,pollen_mlp,mlp,0.47047093700000003,0.6945860643,0.497,0.2135546207,0.21216297150000002
0,pollen,6,1,3848,2,0,1924,871,pollen_knn,knn,0.4979119248,1.7999182444000001,0.503,0.0542914867,0.0006277561000000001
0,pollen,6,1,3848,2,0,1924,871,pollen_xgb,xgb,0.48655951610000003,0.9415468384000001,0.499,0.035575389900000004,0.034178257000000004
0,pollen,6,1,3848,2,0,1924,871,pollen_lgb,lgb,0.4929857475,0.850896498,0.5,0.0510444641,0.0474252701
0,pollen,6,1,3848,2,0,1924,871,pollen_cat,cat,0.47978127210000004,0.7372084778,0.488,0.9201755524,0.9175751209
0,pollen,6,1,3848,2,0,1924,871,pollen_tabpfn_mod,tabpfn_mod,0.4776231944,0.6973864266,0.496,3.1685564518,0.0001959801
0,pollen,6,1,3848,2,0,1924,871,pollen_tabpfn,tabpfn,0.48372741420000004,0.6946195243000001,0.497,2.6703872681,0.0001900196
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_lr,lr,0.8911064426,0.13446718900000001,0.9560000000000001,0.0232996941,0.0204913616
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_rf,rf,0.9850424545,0.059362726600000006,0.982,0.11780476570000001,0.1065380573
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_svm,svm,0.895505077,0.1390167266,0.9520000000000001,0.033777713800000005,0.022200346000000003
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_mlp,mlp,0.8989627101000001,0.1275329153,0.963,0.8376510143,0.837120533
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_knn,knn,0.7977175245,0.5936957541,0.9490000000000001,0.0455408096,0.0002725124
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_xgb,xgb,0.9910495448000001,0.049920969200000005,0.983,0.029702425,0.022524595300000002
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_lgb,lgb,0.9886423319000001,0.0656902527,0.984,0.0623853207,0.0590639114
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_cat,cat,0.9943977591000001,0.042406574,0.986,0.8785786629000001,0.8766410351
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_tabpfn_mod,tabpfn_mod,0.9306503852,0.1096305999,0.961,2.4287381172,0.0001404285
1,Sick_numeric,30,1,3772,2,0,231,41946,Sick_numeric_tabpfn,tabpfn,0.9446122199,0.1005899978,0.971,2.4377717972,0.0002036095
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_lr,lr,0.9899554298000001,0.13714800060000001,0.937,0.0306751728,0.0303761959
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_rf,rf,1.0,0.007823780800000001,1.0,0.10580730440000001,0.0956060886
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_svm,svm,1.0,0.0022314263,1.0,0.037126064300000004,0.0266246796
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_mlp,mlp,1.0,0.0022648063,1.0,0.7115492821,0.7094562054
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_knn,knn,0.9999715336,0.0139228263,0.998,0.058254003500000005,0.0003089905
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_xgb,xgb,1.0,0.0021617332,1.0,0.0588691235,0.0345613956
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_lgb,lgb,1.0,2.32984e-05,1.0,0.0320110321,0.0292677879
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_cat,cat,1.0,0.0009921493,1.0,1.2618098259,1.2465336323
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_tabpfn_mod,tabpfn_mod,1.0,0.002332816,1.0,2.4816179276,0.00016903880000000002
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,jungle_chess_2pcs_endgame_rat_rat_tabpfn,tabpfn,1.0,0.005367225000000001,1.0,2.6307277679,0.00016188620000000002
4,led24,25,25,3200,10,0,296,40677,led24_lr,lr,0.9465413407000001,0.9117633716,0.71,0.06527686120000001,0.06461548810000001
4,led24,25,25,3200,10,0,296,40677,led24_rf,rf,0.9462435193000001,1.040946234,0.6990000000000001,0.1489150524,0.1232626438
4,led24,25,25,3200,10,0,296,40677,led24_svm,svm,0.9488893960000001,0.8889857528,0.7030000000000001,0.2357258797,0.1653017998
4,led24,25,25,3200,10,0,296,40677,led24_mlp,mlp,0.9399434678,1.0496872800000001,0.6940000000000001,1.4730231762,1.4700837135
4,led24,25,25,3200,10,0,296,40677,led24_knn,knn,0.842961013,6.2533920422,0.522,0.0474479198,0.0003111362
4,led24,25,25,3200,10,0,296,40677,led24_xgb,xgb,0.9277623945000001,1.2740839768,0.674,0.2124495506,0.2066595554
4,led24,25,25,3200,10,0,296,40677,led24_lgb,lgb,0.9294224831000001,1.3881743077,0.654,0.26714754100000004,0.24635171890000002
4,led24,25,25,3200,10,0,296,40677,led24_cat,cat,0.9322479796,1.0644118901,0.6900000000000001,4.5449295044,4.5328388214
4,led24,25,25,3200,10,0,296,40677,led24_tabpfn_mod,tabpfn_mod,0.9133965597,1.2888767258,0.552,2.5844614506,0.0002896786
4,led24,25,25,3200,10,0,296,40677,led24_tabpfn,tabpfn,0.9400400105000001,1.0102788082,0.684,2.5603270531,0.00023126600000000002
5,led7,8,8,3200,10,0,270,40678,led7_lr,lr,0.9508874497,0.846941947,0.729,0.025997638700000002,0.025691270800000002
5,led7,8,8,3200,10,0,270,40678,led7_rf,rf,0.9336365715,2.2960103188,0.723,0.07853674890000001,0.0606427193
5,led7,8,8,3200,10,0,270,40678,led7_svm,svm,0.9459327202000001,0.9176531461,0.726,0.08449888230000001,0.0570542812
5,led7,8,8,3200,10,0,270,40678,led7_mlp,mlp,0.9497842821,0.8735836789,0.729,1.2544026375000001,1.2479014397000001
5,led7,8,8,3200,10,0,270,40678,led7_knn,knn,0.8963220989,5.3358017747,0.707,0.0662508011,0.0017132759
5,led7,8,8,3200,10,0,270,40678,led7_xgb,xgb,0.9432531539000001,0.9550166527,0.717,0.155163765,0.1488053799
5,led7,8,8,3200,10,0,270,40678,led7_lgb,lgb,0.9459254559,0.9280760478000001,0.718,0.1956410408,0.1797807217
5,led7,8,8,3200,10,0,270,40678,led7_cat,cat,0.9400091383,1.0233379953,0.712,2.7881624699,2.7827904224
5,led7,8,8,3200,10,0,270,40678,led7_tabpfn_mod,tabpfn_mod,0.9317561685,1.1144841167,0.652,2.675617218,0.0001921654
5,led7,8,8,3200,10,0,270,40678,led7_tabpfn,tabpfn,0.9431364802000001,0.9996976047,0.719,2.4949228764,0.0002222061
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_lr,lr,0.9896613406,0.1519115415,0.9480000000000001,0.1195888519,0.11705923080000001
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_rf,rf,0.9971218973,0.10895330240000001,0.972,0.11294889450000001,0.0976526737
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_svm,svm,0.9889860316,0.1644414853,0.9380000000000001,0.094073534,0.064155817
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_mlp,mlp,0.9968847352,0.07059481220000001,0.97,1.3527359962,1.3517370224
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_knn,knn,0.9515224601000001,0.49305645530000003,0.902,0.0450332165,0.0002257824
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_lgb,lgb,0.9991719425000001,0.041228919,0.983,0.0789470673,0.07625412940000001
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_cat,cat,0.9990995880000001,0.054370645,0.985,1.2636933327,1.248452425
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_tabpfn_mod,tabpfn_mod,0.9946538036,0.0973522715,0.966,2.4824147224,0.0001666546
6,kr-vs-kp,37,37,3196,2,0,1527,3,kr-vs-kp_tabpfn,tabpfn,0.9976926942000001,0.0640697205,0.974,2.4630014896,0.00015759470000000002
7,splice,61,61,3190,3,0,767,46,splice_lr,lr,0.9875030529000001,0.2023760179,0.927,0.2460711002,0.2453477383
7,splice,61,61,3190,3,0,767,46,splice_rf,rf,0.9920719526,0.34844852390000003,0.9540000000000001,0.1531574726,0.1350429058
7,splice,61,61,3190,3,0,767,46,splice_svm,svm,0.9922548756,0.1530750269,0.9460000000000001,0.4645154476,0.3160262108
7,splice,61,61,3190,3,0,767,46,splice_mlp,mlp,0.9860010845,0.24491405160000002,0.926,1.5870661736,1.5835382938
7,splice,61,61,3190,3,0,767,46,splice_knn,knn,0.9394057191,1.4946718551,0.744,0.0555663109,0.0003342628
7,splice,61,61,3190,3,0,767,46,splice_xgb,xgb,0.9908706116,0.1748427194,0.9460000000000001,0.1188995838,0.11660337450000001
7,splice,61,61,3190,3,0,767,46,splice_lgb,lgb,0.9915009272,0.1858919946,0.9520000000000001,0.12239456180000001,0.1165549755
7,splice,61,61,3190,3,0,767,46,splice_cat,cat,0.9912851569000001,0.1673324861,0.9420000000000001,1.2105679512,1.1569550037
8,space_ga,7,1,3107,2,0,1541,737,space_ga_lr,lr,0.8459087786,0.5243291574,0.754,0.0030267239,0.00289011
8,space_ga,7,1,3107,2,0,1541,737,space_ga_rf,rf,0.8895187436,0.45932939970000003,0.8190000000000001,0.1371119022,0.12084984780000001
8,space_ga,7,1,3107,2,0,1541,737,space_ga_svm,svm,0.8958583590000001,0.41187615450000004,0.8140000000000001,0.0645477772,0.0430309772
8,space_ga,7,1,3107,2,0,1541,737,space_ga_mlp,mlp,0.8778318355,0.4624386191,0.795,0.6212289333000001,0.6206297874000001
8,space_ga,7,1,3107,2,0,1541,737,space_ga_knn,knn,0.8569267730000001,1.5613689958,0.786,0.0323419571,0.0010626316
8,space_ga,7,1,3107,2,0,1541,737,space_ga_lgb,lgb,0.8981001241000001,0.4601669386,0.8140000000000001,0.0494503975,0.045684576000000005
8,space_ga,7,1,3107,2,0,1541,737,space_ga_cat,cat,0.9004543793,0.40701053540000004,0.8230000000000001,0.9023995399,0.9004051685000001
8,space_ga,7,1,3107,2,0,1541,737,space_ga_tabpfn_mod,tabpfn_mod,0.9159257727000001,0.3872983867,0.839,2.7972526550000003,0.0001587868
8,space_ga,7,1,3107,2,0,1541,737,space_ga_tabpfn,tabpfn,0.9379095339,0.3258530324,0.864,2.6366751194,0.0001699924
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_lr,lr,0.7550411145,0.2058820158,0.9380000000000001,0.0088019371,0.0086169243
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_rf,rf,0.7448803226,0.38937781730000004,0.9400000000000001,0.1164829731,0.10376811030000001
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_svm,svm,0.6274900051,0.2265793129,0.9390000000000001,0.048446178400000005,0.0337584019
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_mlp,mlp,0.7459802022,0.2080534335,0.936,1.6523663998,1.6516969204
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_knn,knn,0.6023760890000001,1.3400489622,0.932,0.0430412292,0.0002112389
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_lgb,lgb,0.7152883256,0.3600028639,0.932,0.0426352024,0.0391337872
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_cat,cat,0.7400967196,0.2174699602,0.9380000000000001,0.9443039894,0.9381294250000001
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_tabpfn_mod,tabpfn_mod,0.7490877983,0.21705863600000003,0.9390000000000001,2.4054422379,0.0001580715
10,seismic-bumps,19,5,2584,2,0,170,45562,seismic-bumps_tabpfn,tabpfn,0.7501702195000001,0.2138051622,0.9380000000000001,2.4470264912,0.0001649857
11,ozone-level-8hr,73,1,2534,2,0,160,1487,ozone-level-8hr_lr,lr,0.8950598153,0.14203871740000001,0.9550000000000001,0.019116640100000002,0.018529415100000002
11,ozone-level-8hr,73,1,2534,2,0,160,1487,ozone-level-8hr_rf,rf,0.8899150809,0.145301596,0.9480000000000001,0.21233177190000002,0.2017815113
