index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
0,pollen,6,1,3848,2,0,1924,871,0.4996884745311704,2.1579017639160156,0.6954470965817664,0.4838877338877339
1,Sick_numeric,30,1,3772,2,0,231,41946,0.9328649492583919,2.4677982330322266,0.1398474308117037,0.9432661717921527
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,1.0,2.36645770072937,0.0010463694892511686,1.0
4,led24,25,25,3200,10,0,296,40677,0.9407200350867875,1.903287410736084,1.0183185810036957,0.705625
5,led7,8,8,3200,10,0,270,40678,0.9487121916612896,1.9252190589904785,0.8934809443366248,0.72625
6,kr-vs-kp,37,37,3196,2,0,1527,3,0.998806241383632,2.062649965286255,0.057155392248501274,0.9849812265331664
8,space_ga,7,1,3107,2,0,1541,737,0.92018227203986,1.4368977546691895,0.3604982525155642,0.8526383526383526
10,seismic-bumps,19,5,2584,2,0,170,45562,0.7567564812266162,1.5178730487823486,0.2178542570127376,0.9373065015479877
11,ozone-level-8hr,73,1,2534,2,0,160,1487,0.9143548794199307,1.4628076553344727,0.14356461875249432,0.9463299131807419
12,jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007,0.9983211437654602,1.2962965965270996,0.05233632577242551,0.9795918367346939
13,jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999,1.0,1.2663819789886475,0.000702782612766056,1.0
14,segment,20,1,2310,7,0,330,36,0.9960742115171073,1.2229292392730713,0.15555044943532298,0.9341991341991343
15,Titanic,4,1,2201,2,0,711,40704,0.774435815053664,0.43600893020629883,0.4768846319052818,0.7938237965485921
16,quake,4,1,2178,2,0,969,772,0.5277305726249388,0.4294314384460449,0.6916264205815269,0.5436179981634527
17,kc1,22,1,2109,2,0,326,1067,0.8366930049792178,1.1003022193908691,0.33218785490646463,0.8606635071090047
18,balloon,2,1,2001,2,0,482,914,0.8795923778343919,0.13472580909729004,0.33979628570322,0.8481518481518482
19,mfeat-fourier,77,1,2000,10,0,200,14,0.9682636553637549,1.0357985496520996,0.759447591287084,0.78
20,ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,73,1,2000,2,0,126,44548,0.8882112788196033,1.0297694206237793,0.17186120682321052,0.942
21,mfeat-karhunen,65,1,2000,10,0,200,16,0.9973167538511696,1.027597188949585,0.408772357666865,0.944
22,jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,1,2000,2,0,1000,44428,0.8182363671274961,1.0261778831481934,0.5256418689782731,0.735
23,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,45,2000,2,0,1000,44443,0.8610257764124226,1.015956163406372,0.47075086954887957,0.787
24,first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,52,1,2000,6,0,159,44663,0.7467494301862092,0.990947961807251,1.3773275752961636,0.496
25,MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,51,1,2000,2,0,1000,44412,0.9199683137895027,0.983957052230835,0.5341982091310492,0.763
26,KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,50,16,2000,2,0,1000,44463,0.8270067006700671,1.0125372409820557,0.5135575225744397,0.742
27,ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,49,1,2000,2,0,496,44568,0.9112562099262563,0.9867870807647705,0.3247421055339801,0.856
28,mfeat-zernike,48,1,2000,10,0,200,22,0.9791311460046579,1.0055606365203857,0.5454898516703397,0.811
30,kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,37,37,2000,2,0,956,44643,0.999167347200205,0.9956073760986328,0.06178908952305392,0.982
31,road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,4,2000,2,0,1000,44453,0.7773758012820513,0.98152756690979,0.5726561635732651,0.711
32,GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,1,2000,5,0,202,44668,0.7577325789207829,0.9779627323150635,1.2751139233410358,0.496
33,PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,31,31,2000,2,0,886,44673,0.9876027039819412,0.9977459907531738,0.13701094173754974,0.952
34,pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,27,1,2000,2,0,1000,44382,0.9886355889724311,0.980750560760498,0.13930353099077364,0.954
35,Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,25,1,2000,2,0,1000,44417,0.6681438247586107,0.9786510467529297,0.6585067016631365,0.598
36,eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,24,4,2000,2,0,1000,44438,0.5477953678921068,0.989872932434082,0.6896840745806694,0.53
37,numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,990,44493,0.5022540811469213,0.9803133010864258,0.6944780046343804,0.5
38,kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,309,44628,0.8188528416384643,0.9941551685333252,0.3795132452119142,0.85
39,kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,1,2000,2,0,1000,44392,0.8936926917476116,0.9732935428619385,0.3604982961760688,0.845
40,churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,5,2000,2,0,283,44658,0.8923438452407686,0.9881439208984375,0.25868920012755553,0.903
41,compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,18,10,2000,2,0,1000,44458,0.7414821482148215,0.985898494720459,0.6052253233194351,0.681
42,house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,2,0,1000,44387,0.9324572457245724,0.9783306121826172,0.34056436131554074,0.862
43,segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,7,0,285,44633,0.9883473388971356,0.9832422733306885,0.27804708638114245,0.889
44,adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,242,479,44723,0.8826483119591062,0.999990701675415,0.3665860812429164,0.824
45,adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,248,479,44724,0.8931871639784947,1.011141300201416,0.3510470449354034,0.835
46,adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,279,479,44725,0.8890506666666667,1.0065317153930664,0.3645592872533307,0.841
47,adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,254,479,44726,0.8887981153930088,1.0036160945892334,0.340570321063773,0.839
48,adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,253,479,44727,0.9020117770605732,1.0047438144683838,0.33125858654679907,0.853
49,rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,13,8,2000,2,0,1000,44448,0.6590936374549821,0.9828543663024902,0.6603011950179934,0.61
50,wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,12,1,2000,2,0,1000,44367,0.8553015301530152,1.086738109588623,0.4725071423799382,0.778
53,california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,9,1,2000,2,0,1000,44362,0.9416990671850749,1.0177104473114014,0.3117296018949128,0.869
55,electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,8,1,2000,2,0,1000,44372,0.8397977470558116,0.8576476573944092,0.4987586903924239,0.748
57,mfeat-morphological,7,1,2000,10,0,200,18,0.9641348279055654,0.9723246097564697,0.7330301567884162,0.726
58,jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,7,1,2000,3,0,194,44718,0.9152646203513788,0.9739692211151123,0.5092299614002695,0.783
59,phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,6,1,2000,2,0,1000,44407,0.9030231739325267,0.6141705513000488,0.4038614387815687,0.82
60,wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,6,1,2000,2,0,108,44488,0.9946631205673759,0.6139707565307617,0.04921650034209051,0.978
61,steel-plates-fault,34,1,1941,2,0,673,1504,0.9999723947550034,0.9534726142883301,0.006903449433909432,0.995880535530381
62,steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,28,1,1941,7,0,55,44503,0.9542710112093228,0.9504384994506836,0.6448995936973079,0.748712667353244
63,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,21,21,1600,2,0,800,40646,0.5575889397234931,0.7691855430603027,0.6896596878767014,0.535
64,pc3,38,1,1563,2,0,160,1050,0.82526964005978,0.7445704936981201,0.2772276246255678,0.8989769820971867
65,cmc,10,8,1473,3,0,333,23,0.6791541215462705,0.6616005897521973,0.9857439577296437,0.49796472184531887
66,cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,10,8,1473,3,0,333,44613,0.6791541215462705,0.6749746799468994,0.9857439577296437,0.49796472184531887
68,pc4,38,1,1458,2,0,178,1049,0.9334167950693374,0.6767127513885498,0.19060048524340067,0.9245541838134431
69,pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,38,1,1458,2,0,178,44608,0.9334167950693374,0.6619222164154053,0.19060048524340067,0.9245541838134431
70,banknote-authentication,5,1,1372,2,0,610,1462,1.0,0.31612730026245117,0.0005510135664450194,1.0
71,analcatdata_halloffame,17,2,1340,2,20,125,966,0.9578911959878902,0.6011745929718018,0.1342196265175476,0.9477611940298507
72,mofn-3-7-10,11,11,1324,2,0,292,40680,0.9999999999999999,0.5914740562438965,0.0016475420598479741,1.0
73,socmob,6,5,1156,2,0,256,934,0.9712194195542203,0.5155529975891113,0.17320752337488454,0.9394463667820069
74,parity5_plus_5,11,11,1124,2,0,557,40706,0.5011846689895469,0.48179197311401367,0.6934965611352615,0.4875444839857651
75,PieChart3,38,1,1077,2,0,134,1453,0.8305096371493244,0.4691925048828125,0.28405138540145614,0.8849721706864564
76,qsar-biodeg,42,1,1055,2,0,356,1494,0.9383278972242561,0.46103715896606445,0.30068657617994177,0.884469696969697
77,qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,42,1,1055,2,0,356,44598,0.9383278972242561,0.46243977546691895,0.30068657617994177,0.884469696969697
78,PizzaCutter3,38,1,1043,2,0,127,1444,0.8245236747783438,0.45299863815307617,0.27875977728321394,0.8908045977011494
79,rmftsa_sleepdata,3,1,1024,4,0,94,679,0.7044077592439044,0.2165517807006836,1.1419296929379925,0.525390625
80,credit-g,21,14,1000,2,0,300,31,0.7865077887420096,0.43198609352111816,0.4735059705951717,0.778
81,dummy,7,1,1000,2,0,273,45604,0.999135375494071,0.31514430046081543,0.030807662399319268,0.99
82,xd6,10,10,973,2,0,322,40693,1.0,0.4104940891265869,0.030551490893520418,1.0
83,tokyo1,45,3,959,2,0,346,40705,0.9776046176046176,0.40914201736450195,0.20765488289594788,0.93125
84,tic-tac-toe,10,10,958,2,0,332,50,0.9594672620193233,0.3970153331756592,0.33375081734727907,0.8622129436325678
85,Tour-and-Travels-Customer-Churn-Prediction,7,5,954,2,60,224,45545,0.9131924614505997,0.40256571769714355,0.2956145934404735,0.8490566037735849
86,stock,10,1,950,2,0,462,841,0.9954058464594863,0.3922395706176758,0.10023040732819553,0.9578947368421052
87,vehicle,19,1,846,4,0,199,54,0.9317896253519606,0.3663930892944336,0.4346071689567124,0.7777777777777778
88,vehicle_reproduced,19,1,846,4,0,199,44153,0.9317896253519606,0.3606228828430176,0.4346071689567124,0.7777777777777778
89,analcatdata_authorship,71,1,841,4,0,55,458,0.9999699372601384,0.3762023448944092,0.025275266439648194,0.9904988123515439
90,analcatdata_dmft,5,5,797,6,0,123,469,0.5736646486380054,0.33869123458862305,1.773585005362231,0.20551378446115287
91,diabetes,9,1,768,2,0,268,37,0.8317400192400192,0.30893731117248535,0.48993978389110754,0.7473958333333334
92,blood-transfusion-service-center,5,1,748,2,0,178,1464,0.7751211159371868,0.16441106796264648,0.4427181465879959,0.8074866310160428
93,blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,5,1,748,2,0,178,44593,0.7751211159371868,0.15614557266235352,0.4427181465879959,0.8074866310160428
94,doa_bwin_balanced,14,3,708,2,0,354,45712,0.6753512132822479,0.300140380859375,0.6575377671479505,0.632768361581921
95,PieChart1,38,1,705,2,0,61,1451,0.8368454661558109,0.3041961193084717,0.23897849783999187,0.9093484419263456
96,breast-w,10,1,699,2,16,241,15,0.9945865964127178,0.28662991523742676,0.10705020725967578,0.9628571428571429
97,credit-approval,16,10,690,2,67,307,29,0.9408250067512827,0.304579496383667,0.3157034917694071,0.8869565217391304
98,credit-approval_reproduced,16,10,690,2,67,307,44155,0.9408250067512827,0.2939605712890625,0.3157034917694071,0.8869565217391304
99,Australian,15,9,690,2,0,307,40981,0.9106478034251676,0.30197596549987793,0.4342922914265385,0.855072463768116
100,Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,690,2,0,307,44483,0.9106478034251676,0.30031728744506836,0.4342922914265385,0.855072463768116
101,disclosure_x_bias,4,1,662,2,0,317,774,0.5685436751387671,0.11104130744934082,0.6914624000063836,0.5438066465256798
102,disclosure_x_tampered,4,1,662,2,0,327,795,0.5092389716622846,0.10356903076171875,0.6994257343319608,0.49244712990936557
103,disclosure_x_noise,4,1,662,2,0,329,827,0.5306540007307271,0.10345816612243652,0.6972485079325939,0.5166163141993958
